,Unnamed: 0,cluster_id,country,svy_yr_ed,nmothers,lat,lon,pct_no_education,pct_primary_education,pct_secondary_education,pct_higher_education,imr,yrgroup_imr,id
38,221,AM2015_301,Armenia,2015,17,40.9889543575,45.1197233232,0.0,0.0,0.529411764705882,0.47058823529411803,0.0,2011-2015,221
39,161,AM2015_248,Armenia,2015,7,39.211828124200004,46.3935244018,0.0,0.0,0.14285714285714302,0.857142857142857,0.0,2011-2015,161
40,195,AM2015_279,Armenia,2015,13,39.844732653899996,45.3131649771,0.0,0.0,0.615384615384615,0.384615384615385,0.0,2011-2015,195
41,239,AM2015_36,Armenia,2015,17,40.1790776404,44.55688829859999,0.0,0.0,0.294117647058824,0.7058823529411771,0.0,2011-2015,239
42,293,AM2015_87,Armenia,2015,13,39.9222741146,44.7205755337,0.0,0.0,0.384615384615385,0.615384615384615,0.0,2011-2015,293
43,82,AM2015_175,Armenia,2015,5,40.8164826182,44.2802617604,0.0,0.0,0.8,0.2,0.0,2011-2015,82
44,295,AM2015_89,Armenia,2015,8,39.8590406156,44.6219389944,0.0,0.125,0.5,0.375,0.0,2011-2015,295
45,234,AM2015_313,Armenia,2015,15,40.892564514899995,45.38214430399999,0.0,0.133333333333333,0.133333333333333,0.733333333333333,0.0,2011-2015,234
46,276,AM2015_71,Armenia,2015,14,40.3510279033,44.0183084008,0.0,0.0,0.6428571428571429,0.3571428571428571,0.0,2011-2015,276
47,164,AM2015_250,Armenia,2015,15,39.138432486,46.1671927263,0.0,0.0666666666666667,0.266666666666667,0.666666666666667,0.0,2011-2015,164
48,97,AM2015_190,Armenia,2015,10,40.4844388465,44.7512547211,0.0,0.3,0.4,0.3,0.0,2011-2015,97
49,36,AM2015_131,Armenia,2015,15,40.3450163822,45.1267900838,0.0,0.0666666666666667,0.33333333333333304,0.6,0.0,2011-2015,36
50,118,AM2015_209,Armenia,2015,15,40.3038206436,44.4735817908,0.0,0.0,0.266666666666667,0.733333333333333,0.0,2011-2015,118
51,16,AM2015_113,Armenia,2015,14,40.1555610964,44.26968259939999,0.0,0.0,0.5714285714285711,0.42857142857142894,0.0,2011-2015,16
52,113,AM2015_204,Armenia,2015,15,40.1237452764,44.7419951649,0.0,0.0,0.5333333333333329,0.4666666666666671,0.0,2011-2015,113
53,116,AM2015_207,Armenia,2015,13,40.258168168400005,44.5737860845,0.0,0.0769230769230769,0.7692307692307689,0.153846153846154,0.0,2011-2015,116
54,43,AM2015_138,Armenia,2015,16,40.1088194731,45.2971316604,0.0,0.0,0.625,0.375,0.0,2011-2015,43
55,217,AM2015_299,Armenia,2015,21,40.7790060917,44.9252433774,0.0,0.0,0.33333333333333304,0.666666666666667,0.0,2011-2015,217
56,13,AM2015_110,Armenia,2015,18,40.0883242028,43.9434092929,0.0,0.222222222222222,0.555555555555556,0.222222222222222,0.0,2011-2015,13
57,228,AM2015_308,Armenia,2015,22,41.2189786234,44.9224773488,0.0,0.0454545454545455,0.6363636363636359,0.31818181818181795,0.0625,2011-2015,228
58,30,AM2015_126,Armenia,2015,17,40.043228170999996,44.1546761391,0.0588235294117647,0.0,0.588235294117647,0.3529411764705879,0.0,2011-2015,30
59,29,AM2015_125,Armenia,2015,18,40.1399465246,44.1804796211,0.0,0.111111111111111,0.6111111111111109,0.277777777777778,0.0769230769230769,2011-2015,29
60,78,AM2015_171,Armenia,2015,8,41.1014629979,44.4268964516,0.0,0.125,0.375,0.5,0.0,2011-2015,78
61,142,AM2015_230,Armenia,2015,6,40.7753198167,43.899362817,0.0,0.0,0.5,0.5,0.0,2011-2015,142
62,51,AM2015_145,Armenia,2015,14,40.555579396700004,44.9653543838,0.0,0.0,0.5,0.5,0.0,2011-2015,51
63,198,AM2015_281,Armenia,2015,11,39.6911555946,45.46254076979999,0.0,0.0,0.272727272727273,0.7272727272727271,0.0,2011-2015,198
